New track in update: 'energy_rbn'
Differences found in track 'PART BASS':
Time: 174720, removed: MEDIUM Yellow, EASY Red, added: EASY Blue, MEDIUM Blue
Time: 174840, removed: MEDIUM Yellow, EASY Red, added: EASY Blue, MEDIUM Blue
Time: 175560, removed: MEDIUM Yellow, added: MEDIUM Blue
Time: 175680, removed: MEDIUM Yellow, added: MEDIUM Blue
Time: 175920, removed: MEDIUM Yellow, EASY Red, added: EASY Blue, MEDIUM Blue
Time: 176040, removed: MEDIUM Yellow, EASY Red, added: EASY Blue, MEDIUM Blue
Time: 176640, removed: EASY Green, added: EASY Red
Time: 176760, removed: EASY Green, added: EASY Red
Time: 177840, removed: EASY Green, added: EASY Red
Time: 177960, removed: EASY Green, added: EASY Red
Time: 178560, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 178680, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 179400, removed: MEDIUM Blue, added: MEDIUM Orange
Time: 179520, removed: MEDIUM Blue, added: MEDIUM Orange
Time: 179760, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 179880, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Differences found in track 'PART DRUMS':
Time: 14280, added: EXPERT Red
Time: 14400, added: EXPERT Red
Time: 14520, added: EXPERT Red
Time: 14640, added: EXPERT Red
Time: 15240, added: EXPERT Red
Time: 15360, added: EXPERT Red
Time: 16200, added: EXPERT Red
Time: 16320, added: EXPERT Red
Time: 16440, added: EXPERT Red
Time: 16560, added: EXPERT Red
Time: 17160, added: EXPERT Red
Time: 17280, added: EXPERT Red
Time: 18120, added: EXPERT Red
Time: 18240, added: EXPERT Red
Time: 18360, added: EXPERT Red
Time: 18480, added: EXPERT Red
Time: 19080, added: EXPERT Red
Time: 19200, added: EXPERT Red
Time: 20040, added: EXPERT Red
Time: 20160, added: EXPERT Red
Time: 20280, added: EXPERT Red
Time: 20400, added: EXPERT Red
Time: 21000, added: EXPERT Red
Time: 21120, added: EXPERT Red
Time: 21960, added: EXPERT Red
Time: 22080, added: EXPERT Red
Time: 22200, added: EXPERT Red
Time: 22320, added: EXPERT Red
Time: 22920, added: EXPERT Red
Time: 23040, added: EXPERT Red
Time: 23880, added: EXPERT Red
Time: 24000, added: EXPERT Red
Time: 24120, added: EXPERT Red
Time: 24240, added: EXPERT Red
Time: 24840, added: EXPERT Red
Time: 24960, added: EXPERT Red
Time: 25800, added: EXPERT Red
Time: 25920, added: EXPERT Red
Time: 26040, added: EXPERT Red
Time: 26160, added: EXPERT Red
Time: 26760, added: EXPERT Red
Time: 26880, added: EXPERT Red
Time: 29640, added: EXPERT Red
Time: 29760, added: EXPERT Red
Time: 29880, added: EXPERT Red
Time: 30000, added: EXPERT Red
Time: 30600, added: EXPERT Red
Time: 30720, added: EXPERT Red
Time: 31560, added: EXPERT Red
Time: 31680, added: EXPERT Red
Time: 31800, added: EXPERT Red
Time: 31920, added: EXPERT Red
Time: 32520, added: EXPERT Red
Time: 32640, added: EXPERT Red
Time: 33480, added: EXPERT Red
Time: 33600, added: EXPERT Red
Time: 33720, added: EXPERT Red
Time: 33840, added: EXPERT Red
Time: 34440, added: EXPERT Red
Time: 34560, added: EXPERT Red
Time: 35400, added: EXPERT Red
Time: 35520, added: EXPERT Red
Time: 35640, added: EXPERT Red
Time: 35760, added: EXPERT Red
Time: 36360, added: EXPERT Red
Time: 36480, removed: EXPERT Yellow, added: EXPERT Red
Time: 36600, removed: EXPERT Yellow
Time: 37320, added: EXPERT Red
Time: 37440, added: EXPERT Red
Time: 37560, added: EXPERT Red
Time: 37680, added: EXPERT Red
Time: 38280, added: EXPERT Red
Time: 38400, added: EXPERT Red
Time: 39240, added: EXPERT Red
Time: 39360, added: EXPERT Red
Time: 39480, added: EXPERT Red
Time: 39600, added: EXPERT Red
Time: 40200, added: EXPERT Red
Time: 40320, added: EXPERT Red
Time: 41160, added: EXPERT Red
Time: 41280, added: EXPERT Red
Time: 41400, added: EXPERT Red
Time: 41520, added: EXPERT Red
Time: 42120, added: EXPERT Red
Time: 42240, added: EXPERT Red
Time: 47280, removed: MEDIUM Red
Time: 47400, removed: MEDIUM Red
Time: 54960, removed: MEDIUM Red
Time: 55080, removed: MEDIUM Red
Time: 60360, added: EXPERT Red
Time: 60480, added: EXPERT Red
Time: 60600, added: EXPERT Red
Time: 60720, added: EXPERT Red
Time: 61320, added: EXPERT Red
Time: 61440, added: EXPERT Red
Time: 62280, added: EXPERT Red
Time: 62400, added: EXPERT Red
Time: 62520, added: EXPERT Red
Time: 62640, added: EXPERT Red
Time: 63240, added: EXPERT Red
Time: 63360, added: EXPERT Red
Time: 64200, added: EXPERT Red
