Differences found in track 'PART DRUMS':
Time: 28080, added: TOM GEMS PAD 3
Time: 28200, added: TOM GEMS PAD 3
Time: 28320, added: TOM GEMS PAD 3
Time: 28440, added: TOM GEMS PAD 3
Time: 32400, added: TOM GEMS PAD 3
Time: 35760, added: TOM GEMS PAD 2
Time: 36000, added: TOM GEMS PAD 3
Time: 42960, added: TOM GEMS PAD 3
Time: 43080, added: TOM GEMS PAD 3
Time: 43200, added: TOM GEMS PAD 3
Time: 47760, added: TOM GEMS PAD 3
Time: 51120, added: TOM GEMS PAD 3
Time: 51360, added: TOM GEMS PAD 3
Time: 66000, added: TOM GEMS PAD 2
Time: 73680, added: TOM GEMS PAD 2
Time: 74880, added: TOM GEMS PAD 3
Time: 76800, added: TOM GEMS PAD 3
Time: 78720, added: TOM GEMS PAD 3
Time: 81600, added: TOM GEMS PAD 3
Time: 81760, added: TOM GEMS PAD 4
Time: 94720, added: TOM GEMS PAD 3
Time: 96120, added: EASY Blue
Time: 96120, added: MEDIUM Blue
Time: 96120, added: TOM GEMS PAD 3
Time: 96120, added: HARD Blue
Time: 96120, added: EXPERT Blue
Time: 96160, removed: HARD Blue
Time: 96160, removed: EASY Blue
Time: 96160, removed: EXPERT Blue
Time: 96160, removed: MEDIUM Blue
Time: 96220, added: EASY Blue
Time: 96220, added: MEDIUM Blue
Time: 96220, added: TOM GEMS PAD 3
Time: 96220, added: HARD Blue
Time: 96220, added: EXPERT Blue
Time: 96640, added: TOM GEMS PAD 3
Time: 97080, added: MEDIUM Green
Time: 97080, added: HARD Green
Time: 97080, added: EASY Green
Time: 97080, added: TOM GEMS PAD 3
Time: 97080, added: EXPERT Blue
Time: 97120, removed: MEDIUM Green
Time: 97120, removed: HARD Green
Time: 97120, removed: EASY Green
Time: 97120, removed: EXPERT Blue
Time: 97180, added: MEDIUM Green
Time: 97180, added: HARD Green
Time: 97180, added: EASY Green
Time: 97180, added: TOM GEMS PAD 3
Time: 97180, added: EXPERT Blue
Time: 104800, added: TOM GEMS PAD 3
Time: 110080, added: TOM GEMS PAD 3
Time: 111480, added: EASY Blue
Time: 111480, added: MEDIUM Blue
Time: 111480, added: TOM GEMS PAD 3
Time: 111480, added: HARD Blue
Time: 111480, added: EXPERT Blue
Time: 111520, removed: HARD Blue
Time: 111520, removed: EASY Blue
Time: 111520, removed: EXPERT Blue
Time: 111520, removed: MEDIUM Blue
Time: 111580, added: EASY Blue
Time: 111580, added: MEDIUM Blue
Time: 111580, added: TOM GEMS PAD 3
Time: 111580, added: HARD Blue
Time: 111580, added: EXPERT Blue
Time: 112000, added: TOM GEMS PAD 3
Time: 112560, added: TOM GEMS PAD 3
Time: 134400, added: TOM GEMS PAD 2
Time: 134760, added: TOM GEMS PAD 3
Time: 135120, added: TOM GEMS PAD 4
Time: 135480, added: TOM GEMS PAD 3
Time: 159360, added: TOM GEMS PAD 3, TOM GEMS PAD 4
Time: 171360, added: TOM GEMS PAD 3
Time: 171600, added: TOM GEMS PAD 3
Time: 171840, added: TOM GEMS PAD 3
Time: 172080, added: TOM GEMS PAD 3
Time: 172320, added: TOM GEMS PAD 3
Time: 172560, added: TOM GEMS PAD 3
Time: 172800, added: TOM GEMS PAD 3, TOM GEMS PAD 4
Time: 173040, added: TOM GEMS PAD 3, TOM GEMS PAD 4
Time: 173280, added: TOM GEMS PAD 3, TOM GEMS PAD 4
Time: 173520, added: TOM GEMS PAD 3, TOM GEMS PAD 4
Time: 173760, added: TOM GEMS PAD 3, TOM GEMS PAD 4
Time: 220320, added: TOM GEMS PAD 2
Time: 226560, added: TOM GEMS PAD 2
Time: 228000, added: TOM GEMS PAD 2
Time: 234720, added: TOM GEMS PAD 2
Time: 242400, added: TOM GEMS PAD 2
Time: 243360, added: TOM GEMS PAD 2
Time: 250080, added: TOM GEMS PAD 2
Time: 251040, added: TOM GEMS PAD 2
Time: 253920, added: TOM GEMS PAD 2
Time: 254400, added: MEDIUM Green
Time: 254400, added: HARD Kick
Time: 254400, added: EASY Green
Time: 254400, added: EXPERT Kick
Time: 254400, added: EXPERT Blue
Time: 254400, added: MEDIUM Blue
Time: 254400, added: TOM GEMS PAD 3
Time: 254400, added: HARD Blue
Time: 254400, added: TOM GEMS PAD 4
Time: 254400, added: HARD Green
Time: 254400, added: EXPERT Green
Time: 254401, removed: MEDIUM Green
Time: 254401, removed: HARD Kick
Time: 254401, removed: EASY Green
Time: 254401, removed: EXPERT Kick
Time: 254401, removed: EXPERT Blue
Time: 254401, removed: MEDIUM Blue
Time: 254401, removed: HARD Blue
Time: 254401, removed: HARD Green
Time: 254401, removed: EXPERT Green
Time: 254461, added: MEDIUM Green
Time: 254461, added: HARD Kick
Time: 254461, added: EASY Green
Time: 254461, added: EXPERT Kick
Time: 254461, added: EXPERT Blue
Time: 254461, added: MEDIUM Blue
Time: 254461, added: HARD Blue
Time: 254461, added: HARD Green
Time: 254461, added: EXPERT Green
