New track in update: 'HARM1'
New track in update: 'HARM2'
Differences found in track 'PART DRUMS':
Time: 10560, added: TOM GEMS PAD 2
Time: 10680, added: TOM GEMS PAD 2
Time: 11040, added: TOM GEMS PAD 2
Time: 11160, added: TOM GEMS PAD 2
Time: 11280, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 11400, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 18960, added: TOM GEMS PAD 2
Time: 19080, added: TOM GEMS PAD 2
Time: 41760, added: TOM GEMS PAD 2
Time: 42000, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 64800, added: TOM GEMS PAD 4
Time: 87840, added: TOM GEMS PAD 2
Time: 88080, added: TOM GEMS PAD 2
Time: 88200, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 110520, added: TOM GEMS PAD 2
Time: 110760, added: TOM GEMS PAD 3
Time: 111000, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 111120, added: TOM GEMS PAD 2, TOM GEMS PAD 3, TOM GEMS PAD 4
Time: 126480, added: TOM GEMS PAD 2
Time: 126570, added: EXPERT Blue
Time: 126570, added: TOM GEMS PAD 3
Time: 126570, added: MEDIUM Yellow
Time: 126570, added: TOM GEMS PAD 2
Time: 126570, added: HARD Blue
Time: 126600, removed: EXPERT Blue
Time: 126600, removed: HARD Blue
Time: 126600, removed: MEDIUM Yellow
Time: 126660, added: EXPERT Blue
Time: 126660, added: DRUM FILL
Time: 126660, added: HARD Green
Time: 126660, added: TOM GEMS PAD 3
Time: 126660, added: EXPERT Green
Time: 126660, added: DRUM FILL
Time: 126660, added: DRUM FILL
Time: 126660, added: MEDIUM Kick
Time: 126660, added: HARD Kick
Time: 126660, added: MEDIUM Yellow
Time: 126660, added: EXPERT Kick
Time: 126660, added: TOM GEMS PAD 2
Time: 126660, added: EASY Green
Time: 126660, added: DRUM FILL
Time: 126660, added: MEDIUM Green
Time: 126660, added: HARD Blue
Time: 126660, added: DRUM FILL (use all 5)
Time: 126720, removed: HARD Green
Time: 126720, removed: DRUM FILL
Time: 126720, removed: EXPERT Green
Time: 126720, removed: HARD Kick
Time: 126720, removed: DRUM FILL
Time: 126720, removed: EXPERT Kick
Time: 126720, removed: EASY Green
Time: 126720, removed: DRUM FILL
Time: 126720, removed: DRUM FILL
Time: 126720, removed: MEDIUM Green
Time: 126720, removed: MEDIUM Kick
Time: 126720, removed: DRUM FILL (use all 5)
Time: 126780, added: MEDIUM Kick
Time: 126780, added: HARD Green
Time: 126780, added: EXPERT Green
Time: 126780, added: HARD Kick
Time: 126780, added: EXPERT Kick
Time: 126780, added: EASY Green
Time: 126780, added: MEDIUM Green
Time: 132480, added: TOM GEMS PAD 4
Time: 132600, added: TOM GEMS PAD 4
Time: 133200, added: TOM GEMS PAD 4
Time: 133320, added: TOM GEMS PAD 4
Time: 133920, added: TOM GEMS PAD 4
Time: 134040, added: TOM GEMS PAD 4
Time: 134160, added: TOM GEMS PAD 4
Time: 134280, added: TOM GEMS PAD 4
Time: 140160, added: TOM GEMS PAD 4
Time: 140280, added: TOM GEMS PAD 4
Time: 140880, added: TOM GEMS PAD 4
Time: 141000, added: TOM GEMS PAD 4
Time: 141600, added: TOM GEMS PAD 2
Time: 141840, added: TOM GEMS PAD 2
Time: 141930, added: EXPERT Blue
Time: 141930, added: TOM GEMS PAD 3
Time: 141930, added: MEDIUM Yellow
Time: 141930, added: TOM GEMS PAD 2
Time: 141930, added: HARD Blue
Time: 141960, removed: EXPERT Blue
Time: 141960, removed: HARD Blue
Time: 141960, removed: MEDIUM Yellow
