New track in update: 'leaderlessandself_rbn'
Differences found in track 'PART DRUMS':
Time: 18480, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 18600, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 18720, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 18840, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 18960, removed: EXPERT Green, added: EXPERT Blue
Time: 19080, removed: EXPERT Green, added: EXPERT Blue
Time: 19200, removed: EXPERT Green, added: EXPERT Blue
Time: 19320, removed: EXPERT Green, added: EXPERT Blue
Time: 19440, removed: EXPERT Green, added: EXPERT Blue
Time: 19560, removed: EXPERT Green, added: EXPERT Blue
Time: 19680, removed: EXPERT Green, added: EXPERT Blue
Time: 19800, removed: EXPERT Green, added: EXPERT Blue
Time: 19920, removed: EXPERT Green, added: EXPERT Blue
Time: 20040, removed: EXPERT Green, added: EXPERT Blue
Time: 20160, removed: EXPERT Green, added: EXPERT Blue
Time: 20280, removed: EXPERT Green, added: EXPERT Blue
Time: 20400, removed: EXPERT Green, added: EXPERT Blue
Time: 20520, removed: EXPERT Green, added: EXPERT Blue
Time: 20640, removed: EXPERT Green, added: EXPERT Blue
Time: 20760, removed: EXPERT Green, added: EXPERT Blue
Time: 20880, removed: EXPERT Green, added: EXPERT Blue
Time: 21000, removed: EXPERT Green, added: EXPERT Blue
Time: 21120, removed: EXPERT Green, added: EXPERT Blue
Time: 21240, removed: EXPERT Green, added: EXPERT Blue
Time: 21360, removed: EXPERT Green, added: EXPERT Blue
Time: 21480, removed: EXPERT Green, added: EXPERT Blue
Time: 21600, removed: EXPERT Green, added: EXPERT Blue
Time: 21720, removed: EXPERT Green, added: EXPERT Blue
Time: 21840, removed: EXPERT Green, added: EXPERT Blue
Time: 21960, removed: EXPERT Green, added: EXPERT Blue
Time: 22080, removed: EXPERT Green, added: EXPERT Blue
Time: 22200, removed: EXPERT Green, added: EXPERT Blue
Time: 22320, removed: EXPERT Green, added: EXPERT Blue
Time: 22440, removed: EXPERT Green, added: EXPERT Blue
Time: 22560, removed: EXPERT Green, added: EXPERT Blue
Time: 22680, removed: EXPERT Green, added: EXPERT Blue
Time: 22800, removed: EXPERT Green, added: EXPERT Blue
Time: 22920, removed: EXPERT Green, added: EXPERT Blue
Time: 23040, removed: EXPERT Green, added: EXPERT Blue
Time: 23160, removed: EXPERT Green, added: EXPERT Blue
Time: 23280, removed: EXPERT Green, added: EXPERT Blue
Time: 23400, removed: EXPERT Green, added: EXPERT Blue
Time: 23520, removed: EXPERT Green, added: EXPERT Blue
Time: 23640, removed: EXPERT Green, added: EXPERT Blue
Time: 23760, removed: EXPERT Green, added: EXPERT Blue
Time: 23880, removed: EXPERT Green, added: EXPERT Blue
Time: 24000, removed: EXPERT Green, added: EXPERT Blue
Time: 24120, removed: EXPERT Green, added: EXPERT Blue
Time: 24240, removed: EXPERT Green, added: EXPERT Blue
Time: 24360, removed: EXPERT Green, added: EXPERT Blue
Time: 24480, removed: EXPERT Green, added: EXPERT Blue
Time: 24600, removed: EXPERT Green, added: EXPERT Blue
Time: 24720, removed: EXPERT Green, added: EXPERT Blue
Time: 24840, removed: EXPERT Green, added: EXPERT Blue
