New track in update: 'smashthecontrol_rbn'
Differences found in track 'PART DRUMS':
Time: 27680, added: EXPERT Red
Time: 27760, added: EXPERT Red
Time: 28000, added: EXPERT Red
Time: 28080, added: EXPERT Red
Time: 29600, added: EXPERT Red
Time: 29680, added: EXPERT Red
Time: 29920, added: EXPERT Red
Time: 30000, added: EXPERT Red
Time: 30560, added: EXPERT Red
Time: 30640, added: EXPERT Red
Time: 30880, added: EXPERT Red
Time: 30960, added: EXPERT Red
Time: 31520, added: EXPERT Red
Time: 31600, added: EXPERT Red
Time: 31840, added: EXPERT Red
Time: 31920, added: EXPERT Red
Time: 32480, added: EXPERT Red
Time: 32560, added: EXPERT Red
Time: 32800, added: EXPERT Red
Time: 32880, added: EXPERT Red
Time: 33440, added: EXPERT Red
Time: 33520, added: EXPERT Red
Time: 33760, added: EXPERT Red
Time: 33840, added: EXPERT Red
Time: 34720, added: EXPERT Red
Time: 34800, added: EXPERT Red
Time: 35360, added: EXPERT Red
Time: 35440, added: EXPERT Red
Time: 35680, added: EXPERT Red
Time: 35760, added: EXPERT Red
Time: 37280, added: EXPERT Red
Time: 37360, added: EXPERT Red
Time: 37600, added: EXPERT Red
Time: 37680, added: EXPERT Red
Time: 38240, added: EXPERT Red
Time: 38320, added: EXPERT Red
Time: 38560, added: EXPERT Red
Time: 38640, added: EXPERT Red
Time: 39200, added: EXPERT Red
Time: 39280, added: EXPERT Red
Time: 39520, added: EXPERT Red
Time: 39600, added: EXPERT Red
Time: 40160, added: EXPERT Red
Time: 40240, added: EXPERT Red
Time: 40480, added: EXPERT Red
Time: 40560, added: EXPERT Red
Time: 41120, added: EXPERT Red
Time: 41200, added: EXPERT Red
Time: 41440, added: EXPERT Red
Time: 41520, added: EXPERT Red
Time: 43040, added: EXPERT Red
Time: 43120, added: EXPERT Red
Time: 43360, added: EXPERT Red
Time: 43440, added: EXPERT Red
Time: 44960, added: EXPERT Red
Time: 45040, added: EXPERT Red
Time: 45280, added: EXPERT Red
Time: 45360, added: EXPERT Red
Time: 50720, added: EXPERT Red
Time: 50800, added: EXPERT Red
Time: 51040, added: EXPERT Red
Time: 51120, added: EXPERT Red
Time: 52640, added: EXPERT Red
Time: 52720, added: EXPERT Red
Time: 52960, added: EXPERT Red
Time: 53040, added: EXPERT Red
Time: 53600, added: EXPERT Red
Time: 53680, added: EXPERT Red
Time: 54560, added: EXPERT Red
Time: 54640, added: EXPERT Red
Time: 54880, added: EXPERT Red
Time: 54960, added: EXPERT Red
Time: 56480, added: EXPERT Red
Time: 56560, added: EXPERT Red
Time: 56800, added: EXPERT Red
Time: 56880, added: EXPERT Red
Time: 58400, added: EXPERT Red
Time: 58480, added: EXPERT Red
Time: 58720, added: EXPERT Red
Time: 58800, added: EXPERT Red
Time: 60320, added: EXPERT Red
Time: 60400, added: EXPERT Red
Time: 60640, added: EXPERT Red
Time: 60720, added: EXPERT Red
Time: 64800, removed: TOM GEMS PAD 4, EASY Green, MEDIUM Green, HARD Green, EXPERT Green, added: EASY Blue, MEDIUM Blue, HARD Blue, EXPERT Blue, TOM GEMS PAD 3
Time: 64880, removed: TOM GEMS PAD 4, EASY Green, MEDIUM Green, HARD Green, EXPERT Green, added: EASY Blue, MEDIUM Blue, HARD Blue, EXPERT Blue, TOM GEMS PAD 3
Time: 87200, removed: EXPERT Blue, added: EXPERT Yellow
Time: 87280, removed: EXPERT Blue, added: EXPERT Yellow
Time: 88160, removed: EXPERT Yellow, added: EXPERT Blue
Time: 88240, removed: EXPERT Yellow, added: EXPERT Blue
Time: 89120, added: EXPERT Red
Time: 89200, added: EXPERT Red
Time: 89440, added: EXPERT Red
Time: 89520, added: EXPERT Red
Time: 91040, added: EXPERT Red
Time: 91120, added: EXPERT Red
Time: 91360, added: EXPERT Red
Time: 91440, added: EXPERT Red
