Differences found in track 'PART DRUMS':
Time: 109680, removed: HARD Blue, EXPERT Blue, TOM GEMS PAD 3, added: TOM GEMS PAD 4, HARD Green, EXPERT Green
Time: 109800, removed: HARD Blue, EXPERT Blue, TOM GEMS PAD 3, added: TOM GEMS PAD 4, HARD Green, EXPERT Green
Time: 109920, removed: EASY Blue, MEDIUM Blue, HARD Blue, EXPERT Blue, TOM GEMS PAD 3, added: HARD Green, EXPERT Green, TOM GEMS PAD 4, EASY Green, MEDIUM Green
Time: 110040, removed: EASY Blue, MEDIUM Blue, HARD Blue, EXPERT Blue, TOM GEMS PAD 3, added: HARD Green, EXPERT Green, TOM GEMS PAD 4, EASY Green, MEDIUM Green
Time: 141120, added: TOM GEMS PAD 3
Time: 141200, added: TOM GEMS PAD 3
Time: 185160, added: TOM GEMS PAD 2
Time: 185307, added: TOM GEMS PAD 2
Time: 186120, added: TOM GEMS PAD 2
Time: 186267, added: TOM GEMS PAD 2
Time: 187080, added: TOM GEMS PAD 2
Time: 187227, added: TOM GEMS PAD 2
Time: 188040, added: TOM GEMS PAD 2
Time: 188187, added: TOM GEMS PAD 2
Time: 213120, added: EXPERT Kick
Time: 255360, added: EXPERT Red
Time: 255480, added: EXPERT Red
Time: 255840, added: EXPERT Red
Time: 255960, added: EXPERT Red
Time: 256800, added: EXPERT Red
Time: 256920, added: EXPERT Red
Time: 257760, added: EXPERT Red
Time: 257880, added: EXPERT Red
Time: 258240, added: EXPERT Red
Time: 258360, added: EXPERT Red
Time: 258760, added: EXPERT Red
Time: 258840, added: EXPERT Red
Time: 261120, added: EXPERT Red
Time: 261240, added: EXPERT Red
Time: 261600, added: EXPERT Red
Time: 261720, added: EXPERT Red
Time: 262200, removed: HARD Red, EXPERT Red
Time: 262360, added: HARD Red, EXPERT Red
Time: 262600, added: TOM GEMS PAD 3
Time: 262680, added: TOM GEMS PAD 3
Time: 262760, added: TOM GEMS PAD 3
Time: 262840, added: TOM GEMS PAD 3
Time: 262920, added: TOM GEMS PAD 3
Time: 263000, added: TOM GEMS PAD 3
Time: 264000, added: EXPERT Red
Time: 264120, added: EXPERT Red
Time: 264480, added: EXPERT Red
Time: 264600, added: EXPERT Red
Time: 266920, added: EXPERT Red
Time: 267000, added: EXPERT Red
Time: 268360, added: EXPERT Red
Time: 268440, added: EXPERT Red
Time: 269760, added: EXPERT Red
Time: 269880, added: EXPERT Red
Time: 270240, added: EXPERT Red
Time: 270360, added: EXPERT Red
Time: 272640, added: EXPERT Red
Time: 272760, added: EXPERT Red
Time: 274080, added: EXPERT Red
Time: 274200, added: EXPERT Red
Time: 275520, added: EXPERT Red
Time: 275640, added: EXPERT Red
Time: 303960, removed: CYMBAL SWELLS
Time: 304040, added: CYMBAL SWELLS
Time: 329280, added: EXPERT Red
Time: 329400, added: EXPERT Red
Time: 331200, added: EXPERT Red
Time: 331320, added: EXPERT Red
Time: 333120, added: EXPERT Red
Time: 333240, added: EXPERT Red
Time: 336960, added: EXPERT Red
Time: 337080, added: EXPERT Red
Time: 354480, added: EXPERT Red
Time: 354600, added: EXPERT Red
Time: 358320, added: EXPERT Red
Time: 358440, added: EXPERT Red
Time: 358560, added: EXPERT Red
Time: 358680, added: EXPERT Red
Time: 362160, added: EXPERT Red
Time: 362280, added: EXPERT Red
Time: 371400, removed: CYMBAL SWELLS
Time: 371480, added: CYMBAL SWELLS
Time: 374160, added: EXPERT Red
Time: 374280, added: EXPERT Red
Time: 374400, added: EXPERT Red
Time: 374520, added: EXPERT Red
Time: 375360, added: EXPERT Red
Time: 375480, added: EXPERT Red
Time: 376080, added: EXPERT Red
Time: 376200, added: EXPERT Red
Time: 376320, added: EXPERT Red
Time: 376440, added: EXPERT Red
Time: 377280, added: EXPERT Red
Time: 377400, added: EXPERT Red
Time: 378000, added: EXPERT Red
Time: 378120, added: EXPERT Red
Time: 378240, added: EXPERT Red
Time: 378360, added: EXPERT Red
Time: 381840, added: EXPERT Red
Time: 381960, added: EXPERT Red
Time: 382080, added: EXPERT Red
Time: 382200, added: EXPERT Red
Time: 383040, added: EXPERT Red
Time: 383160, added: EXPERT Red
Time: 383760, added: EXPERT Red
Time: 383880, added: EXPERT Red
Time: 384000, added: EXPERT Red
Time: 384120, added: EXPERT Red
Time: 384960, added: EXPERT Red
Time: 385080, added: EXPERT Red
Time: 385680, added: EXPERT Red
Time: 385800, added: EXPERT Red
Time: 385920, added: EXPERT Red
Time: 386040, added: EXPERT Red
Time: 412560, added: EXPERT Red
Time: 412680, added: EXPERT Red
Time: 412800, added: EXPERT Red
Time: 412920, added: EXPERT Red
Time: 414480, added: EXPERT Red
Time: 414600, added: EXPERT Red
Time: 414720, added: EXPERT Red
Time: 414840, added: EXPERT Red
Time: 416400, added: EXPERT Red
Time: 416520, added: EXPERT Red
Time: 416640, added: EXPERT Red
Time: 416760, added: EXPERT Red
Time: 418320, added: EXPERT Red
Time: 418440, added: EXPERT Red
Time: 418560, added: EXPERT Red
Time: 418680, added: EXPERT Red
Time: 419520, added: EXPERT Red
Time: 419640, added: EXPERT Red
Time: 420240, added: EXPERT Red
Time: 420360, added: EXPERT Red
Time: 420480, added: EXPERT Red
Time: 420600, added: EXPERT Red
Time: 421440, added: EXPERT Red
Time: 421560, added: EXPERT Red
Time: 422160, added: EXPERT Red
Time: 422280, added: EXPERT Red
Time: 422400, added: EXPERT Red
Time: 422520, added: EXPERT Red
Time: 423360, added: EXPERT Red
Time: 423480, added: EXPERT Red
Time: 424080, added: EXPERT Red
Time: 424200, added: EXPERT Red
Time: 424320, added: EXPERT Red
Time: 424440, added: EXPERT Red
Text differences found in track 'PART DRUMS':
Time: 457800, Text event changed from 'End song here?' to '[no event]'
Differences found in track 'PART GUITAR':
Time: 308040, removed: MEDIUM Orange, added: MEDIUM Blue
Time: 309480, removed: MEDIUM Orange, added: MEDIUM Blue
