New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 19200, added: EXPERT 2xKick
Time: 19320, added: EXPERT 2xKick
Time: 19440, added: EXPERT 2xKick
Time: 19560, added: EXPERT 2xKick
Time: 19680, added: EXPERT 2xKick
Time: 19800, added: EXPERT 2xKick
Time: 19920, added: EXPERT 2xKick
Time: 20040, added: EXPERT 2xKick
Time: 20160, added: EXPERT 2xKick
Time: 20280, added: EXPERT 2xKick
Time: 20400, added: EXPERT 2xKick
Time: 20520, added: EXPERT 2xKick
Time: 20640, added: EXPERT 2xKick
Time: 20760, added: EXPERT 2xKick
Time: 20880, added: EXPERT 2xKick
Time: 21000, added: EXPERT 2xKick
Time: 21120, added: EXPERT 2xKick
Time: 21240, added: EXPERT 2xKick
Time: 21360, added: EXPERT 2xKick
Time: 21480, added: EXPERT 2xKick
Time: 21600, added: EXPERT 2xKick
Time: 21720, added: EXPERT 2xKick
Time: 21840, added: EXPERT 2xKick
Time: 21960, added: EXPERT 2xKick
Time: 22080, added: EXPERT 2xKick
Time: 22200, added: EXPERT 2xKick
Time: 22320, added: EXPERT 2xKick
Time: 22440, added: EXPERT 2xKick
Time: 22560, added: EXPERT 2xKick
Time: 22680, added: EXPERT 2xKick
Time: 22800, added: EXPERT 2xKick
Time: 22920, added: EXPERT 2xKick
Time: 23040, added: EXPERT 2xKick
Time: 23160, added: EXPERT 2xKick
Time: 23280, added: EXPERT 2xKick
Time: 23400, added: EXPERT 2xKick
Time: 23520, added: EXPERT 2xKick
Time: 23640, added: EXPERT 2xKick
Time: 23760, added: EXPERT 2xKick
Time: 23880, added: EXPERT 2xKick
Time: 24000, added: EXPERT 2xKick
Time: 24120, added: EXPERT 2xKick
Time: 24240, added: EXPERT 2xKick
Time: 24360, added: EXPERT 2xKick
Time: 24480, added: EXPERT 2xKick
Time: 24600, added: EXPERT 2xKick
Time: 24720, added: EXPERT 2xKick
Time: 24840, added: EXPERT 2xKick
Time: 24960, added: EXPERT 2xKick
Time: 25080, added: EXPERT 2xKick
Time: 25200, added: EXPERT 2xKick
Time: 25320, added: EXPERT 2xKick
Time: 25440, added: EXPERT 2xKick
Time: 25560, added: EXPERT 2xKick
Time: 25680, added: EXPERT 2xKick
Time: 25800, added: EXPERT 2xKick
Time: 25920, added: EXPERT 2xKick
Time: 26040, added: EXPERT 2xKick
Time: 26160, added: EXPERT 2xKick
Time: 26280, added: EXPERT 2xKick
Time: 26400, added: EXPERT 2xKick
Time: 26520, added: EXPERT 2xKick
Time: 26640, added: EXPERT 2xKick
Time: 26760, added: EXPERT 2xKick
Time: 26880, added: EXPERT 2xKick
Time: 27960, added: EXPERT 2xKick
