Differences found in track 'PART DRUMS':
Time: 9000, added: EXPERT 2xKick
Time: 9240, added: EXPERT 2xKick
Time: 9720, added: EXPERT 2xKick
Time: 9960, added: EXPERT 2xKick
Time: 10200, added: EXPERT 2xKick
Time: 10440, added: EXPERT 2xKick
Time: 10680, added: EXPERT 2xKick
Time: 10920, added: EXPERT 2xKick
Time: 11160, added: EXPERT 2xKick
Time: 11400, added: EXPERT 2xKick
Time: 11640, added: EXPERT 2xKick
Time: 11880, added: EXPERT 2xKick
Time: 12120, added: EXPERT 2xKick
Time: 12360, added: EXPERT 2xKick
Time: 12600, added: EXPERT 2xKick
Time: 12840, added: EXPERT 2xKick
Time: 14040, added: EXPERT 2xKick
Time: 14280, added: EXPERT 2xKick
Time: 14520, added: EXPERT 2xKick
Time: 14760, added: EXPERT 2xKick
Time: 15000, added: EXPERT 2xKick
Time: 15240, added: EXPERT 2xKick
Time: 15480, added: EXPERT 2xKick
Time: 15720, added: EXPERT 2xKick
Time: 15960, added: EXPERT 2xKick
Time: 16200, added: EXPERT 2xKick
Time: 16440, added: EXPERT 2xKick
Time: 16680, added: EXPERT 2xKick
Time: 16920, added: EXPERT 2xKick
Time: 18480, added: EXPERT 2xKick
Time: 18600, added: EXPERT 2xKick
Time: 18960, added: EXPERT 2xKick
Time: 19100, added: EXPERT 2xKick
Time: 19200, added: EXPERT 2xKick
Time: 19560, added: EXPERT 2xKick
Time: 19800, added: EXPERT 2xKick
Time: 20040, added: EXPERT 2xKick
Time: 20400, added: EXPERT 2xKick
Time: 20520, added: EXPERT 2xKick
Time: 20640, added: EXPERT 2xKick
Time: 20880, added: EXPERT 2xKick
Time: 21020, added: EXPERT 2xKick
Time: 21120, added: EXPERT 2xKick
Time: 21480, added: EXPERT 2xKick
Time: 21720, added: EXPERT 2xKick
Time: 21960, added: EXPERT 2xKick
Time: 22320, added: EXPERT 2xKick
Time: 22440, added: EXPERT 2xKick
Time: 22560, added: EXPERT 2xKick
Time: 22800, added: EXPERT 2xKick
Time: 22940, added: EXPERT 2xKick
Time: 23400, added: EXPERT 2xKick
Time: 23640, added: EXPERT 2xKick
Time: 23880, added: EXPERT 2xKick
Time: 24240, added: EXPERT 2xKick
Time: 24360, added: EXPERT 2xKick
Time: 24480, added: EXPERT 2xKick
Time: 25320, added: EXPERT 2xKick
Time: 26160, added: EXPERT 2xKick
Time: 26280, added: EXPERT 2xKick
Time: 26640, added: EXPERT 2xKick
Time: 26780, added: EXPERT 2xKick
Time: 27240, added: EXPERT 2xKick
Time: 27480, added: EXPERT 2xKick
Time: 27720, added: EXPERT 2xKick
Time: 28080, added: EXPERT 2xKick
Time: 28200, added: EXPERT 2xKick
Time: 28320, added: EXPERT 2xKick
Time: 28560, added: EXPERT 2xKick
Time: 28700, added: EXPERT 2xKick
Time: 28800, added: EXPERT 2xKick
Time: 29160, added: EXPERT 2xKick
Time: 29400, added: EXPERT 2xKick
Time: 29640, added: EXPERT 2xKick
Time: 30000, added: EXPERT 2xKick
Time: 30120, added: EXPERT 2xKick
Time: 30240, added: EXPERT 2xKick
Time: 30480, added: EXPERT 2xKick
Time: 30620, added: EXPERT 2xKick
Time: 30720, added: EXPERT 2xKick
Time: 31080, added: EXPERT 2xKick
Time: 31320, added: EXPERT 2xKick
Time: 31560, added: EXPERT 2xKick
Time: 31920, added: EXPERT 2xKick
Time: 32040, added: EXPERT 2xKick
Time: 32160, added: EXPERT 2xKick
Time: 32400, added: EXPERT 2xKick
Time: 32540, added: EXPERT 2xKick
Time: 33360, added: EXPERT 2xKick
Time: 33840, added: EXPERT 2xKick
Time: 34320, added: EXPERT 2xKick
Time: 34800, added: EXPERT 2xKick
Time: 35280, added: EXPERT 2xKick
Time: 35760, added: EXPERT 2xKick
Time: 36240, added: EXPERT 2xKick
Time: 36720, added: EXPERT 2xKick
Time: 37200, added: EXPERT 2xKick
Time: 37680, added: EXPERT 2xKick
Time: 38160, added: EXPERT 2xKick
Time: 38640, added: EXPERT 2xKick
Time: 39120, added: EXPERT 2xKick
Time: 39600, added: EXPERT 2xKick
Time: 39840, added: EXPERT 2xKick
Time: 40080, added: EXPERT 2xKick
Time: 40320, added: EXPERT 2xKick
Time: 40560, added: EXPERT 2xKick
Time: 41040, added: EXPERT 2xKick
Time: 41520, added: EXPERT 2xKick
Time: 42000, added: EXPERT 2xKick
Time: 42480, added: EXPERT 2xKick
Time: 42960, added: EXPERT 2xKick
Time: 43440, added: EXPERT 2xKick
Time: 43920, added: EXPERT 2xKick
Time: 44400, added: EXPERT 2xKick
Time: 44880, added: EXPERT 2xKick
Time: 45360, added: EXPERT 2xKick
Time: 45840, added: EXPERT 2xKick
Time: 46320, added: EXPERT 2xKick
Time: 46800, added: EXPERT 2xKick
Time: 47040, added: EXPERT 2xKick
Time: 47180, added: EXPERT 2xKick
Time: 47760, added: EXPERT 2xKick
Time: 47900, added: EXPERT 2xKick
Time: 48000, added: EXPERT 2xKick
Time: 49200, added: EXPERT 2xKick
Time: 49320, added: EXPERT 2xKick
Time: 49680, added: EXPERT 2xKick
Time: 49820, added: EXPERT 2xKick
Time: 49920, added: EXPERT 2xKick
Time: 50280, added: EXPERT 2xKick
Time: 50520, added: EXPERT 2xKick
Time: 50760, added: EXPERT 2xKick
Time: 51120, added: EXPERT 2xKick
Time: 51240, added: EXPERT 2xKick
Time: 51360, added: EXPERT 2xKick
Time: 51600, added: EXPERT 2xKick
Time: 51740, added: EXPERT 2xKick
Time: 51840, added: EXPERT 2xKick
Time: 52200, added: EXPERT 2xKick
Time: 52440, added: EXPERT 2xKick
Time: 52680, added: EXPERT 2xKick
Time: 53040, added: EXPERT 2xKick
Time: 53160, added: EXPERT 2xKick
Time: 53280, added: EXPERT 2xKick
Time: 53520, added: EXPERT 2xKick
Time: 53660, added: EXPERT 2xKick
Time: 54120, added: EXPERT 2xKick
Time: 54360, added: EXPERT 2xKick
Time: 54600, added: EXPERT 2xKick
Time: 54960, added: EXPERT 2xKick
