New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 165240, added: EXPERT 2xKick
Time: 165480, added: EXPERT 2xKick
Time: 165720, added: EXPERT 2xKick
Time: 165960, added: EXPERT 2xKick
Time: 166200, added: EXPERT 2xKick
Time: 166440, added: EXPERT 2xKick
Time: 166680, added: EXPERT 2xKick
Time: 166920, added: EXPERT 2xKick
Time: 167160, added: EXPERT 2xKick
Time: 167400, added: EXPERT 2xKick
Time: 167640, added: EXPERT 2xKick
Time: 167880, added: EXPERT 2xKick
Time: 168120, added: EXPERT 2xKick
Time: 168360, added: EXPERT 2xKick
Time: 168600, added: EXPERT 2xKick
Time: 168840, added: EXPERT 2xKick
Time: 169080, added: EXPERT 2xKick
Time: 169320, added: EXPERT 2xKick
Time: 169560, added: EXPERT 2xKick
Time: 169800, added: EXPERT 2xKick
Time: 170040, added: EXPERT 2xKick
Time: 170280, added: EXPERT 2xKick
Time: 170520, added: EXPERT 2xKick
Time: 170760, added: EXPERT 2xKick
Time: 171000, added: EXPERT 2xKick
Time: 171240, added: EXPERT 2xKick
Time: 171480, added: EXPERT 2xKick
Time: 171720, added: EXPERT 2xKick
Time: 171960, added: EXPERT 2xKick
Time: 172200, added: EXPERT 2xKick
Time: 172440, added: EXPERT 2xKick
Time: 172680, added: EXPERT 2xKick
Time: 172920, added: EXPERT 2xKick
Time: 173160, added: EXPERT 2xKick
Time: 173400, added: EXPERT 2xKick
Time: 173640, added: EXPERT 2xKick
Time: 173880, added: EXPERT 2xKick
Time: 174120, added: EXPERT 2xKick
Time: 174360, added: EXPERT 2xKick
Time: 174600, added: EXPERT 2xKick
Time: 174840, added: EXPERT 2xKick
Time: 175080, added: EXPERT 2xKick
Time: 175320, added: EXPERT 2xKick
Time: 175560, added: EXPERT 2xKick
Time: 175800, added: EXPERT 2xKick
Time: 176040, added: EXPERT 2xKick
Time: 176280, added: EXPERT 2xKick
Time: 176520, added: EXPERT 2xKick
Time: 176760, added: EXPERT 2xKick
Time: 177000, added: EXPERT 2xKick
Time: 177240, added: EXPERT 2xKick
Time: 177480, added: EXPERT 2xKick
Time: 177720, added: EXPERT 2xKick
Time: 177960, added: EXPERT 2xKick
Time: 178200, added: EXPERT 2xKick
Time: 178440, added: EXPERT 2xKick
Time: 178680, added: EXPERT 2xKick
Time: 178920, added: EXPERT 2xKick
Time: 179160, added: EXPERT 2xKick
Time: 179400, added: EXPERT 2xKick
Time: 179640, added: EXPERT 2xKick
Time: 179880, added: EXPERT 2xKick
Time: 180120, added: EXPERT 2xKick
Time: 180360, added: EXPERT 2xKick
Time: 180600, added: EXPERT 2xKick
Time: 180840, added: EXPERT 2xKick
Time: 181080, added: EXPERT 2xKick
Time: 181320, added: EXPERT 2xKick
Time: 181560, added: EXPERT 2xKick
Time: 181800, added: EXPERT 2xKick
Time: 182040, added: EXPERT 2xKick
Time: 182280, added: EXPERT 2xKick
Time: 182520, added: EXPERT 2xKick
Time: 182760, added: EXPERT 2xKick
Time: 183000, added: EXPERT 2xKick
Time: 183240, added: EXPERT 2xKick
Time: 183480, added: EXPERT 2xKick
Time: 183720, added: EXPERT 2xKick
Time: 183960, added: EXPERT 2xKick
Time: 184200, added: EXPERT 2xKick
Time: 184440, added: EXPERT 2xKick
Time: 184680, added: EXPERT 2xKick
Time: 184920, added: EXPERT 2xKick
Time: 185160, added: EXPERT 2xKick
Time: 185400, added: EXPERT 2xKick
Time: 185640, added: EXPERT 2xKick
Time: 185880, added: EXPERT 2xKick
Time: 186120, added: EXPERT 2xKick
Time: 186360, added: EXPERT 2xKick
Time: 186600, added: EXPERT 2xKick
Time: 186840, added: EXPERT 2xKick
Time: 187080, added: EXPERT 2xKick
Time: 187320, added: EXPERT 2xKick
Time: 187560, added: EXPERT 2xKick
Time: 187800, added: EXPERT 2xKick
Time: 188040, added: EXPERT 2xKick
Time: 188280, added: EXPERT 2xKick
Time: 188520, added: EXPERT 2xKick
Time: 188760, added: EXPERT 2xKick
Time: 189000, added: EXPERT 2xKick
Time: 189240, added: EXPERT 2xKick
Time: 189480, added: EXPERT 2xKick
Time: 189720, added: EXPERT 2xKick
Time: 189960, added: EXPERT 2xKick
Time: 190200, added: EXPERT 2xKick
Time: 190440, added: EXPERT 2xKick
Time: 190680, added: EXPERT 2xKick
Time: 190920, added: EXPERT 2xKick
Time: 191160, added: EXPERT 2xKick
Time: 191400, added: EXPERT 2xKick
Time: 191640, added: EXPERT 2xKick
Time: 191880, added: EXPERT 2xKick
Time: 192120, added: EXPERT 2xKick
Time: 192360, added: EXPERT 2xKick
Time: 192600, added: EXPERT 2xKick
Time: 192840, added: EXPERT 2xKick
Time: 193080, added: EXPERT 2xKick
Time: 193320, added: EXPERT 2xKick
Time: 265920, added: EXPERT 2xKick
Time: 266060, added: EXPERT 2xKick
Time: 266060, added: EXPERT Kick
Time: 266080, removed: EXPERT Kick
Time: 266160, added: EXPERT 2xKick
Time: 266160, added: EXPERT Kick
Time: 266160, added: HARD Kick
Time: 266240, removed: HARD Kick
Time: 266240, removed: EXPERT Kick
Time: 266300, added: HARD Kick
Time: 266300, added: EXPERT Kick
Time: 266400, added: EXPERT 2xKick
Time: 266540, added: EXPERT 2xKick
Time: 266540, added: EXPERT Kick
Time: 266560, removed: EXPERT Kick
Time: 266640, added: EXPERT 2xKick
Time: 266640, added: EXPERT Kick
Time: 266640, added: HARD Kick
Time: 266720, removed: HARD Kick
Time: 266720, removed: EXPERT Kick
Time: 266780, added: HARD Kick
Time: 266780, added: EXPERT Kick
Text differences found in track 'PART DRUMS':
Time: 267839, Text event changed from '[no event]' to '[idle_realtime]'
Time: 267840, Text event changed from '[idle_realtime]' to '[no event]'
Differences found in track 'PART GUITAR':
Time: 222720, added: EXPERT Green
Time: 222801, removed: HARD Blue
Time: 222801, removed: EXPERT Green
Time: 222801, removed: EXPERT Blue
Time: 222880, added: HARD Blue
Time: 222880, added: EXPERT Blue
Time: 222880, added: EXPERT Yellow
Time: 222880, added: MEDIUM Yellow
Time: 222880, added: EXPERT Green
Time: 222880, added: HARD Yellow
Time: 222960, removed: HARD Blue
Time: 222960, removed: EXPERT Blue
Time: 222960, removed: EXPERT Yellow
Time: 222960, removed: MEDIUM Yellow
Time: 222960, removed: HARD Yellow
Time: 223040, added: EXPERT Yellow
Time: 223040, added: MEDIUM Yellow
Time: 223040, added: EXPERT Green
Time: 223040, added: HARD Yellow
Time: 223041, removed: EXPERT Yellow
Time: 223041, removed: EXPERT Green
Time: 223041, removed: HARD Yellow
Time: 226720, added: HARD Yellow
Time: 226801, removed: HARD Blue
Time: 226801, removed: EXPERT Yellow
Time: 226801, removed: MEDIUM Yellow
Time: 226801, removed: EXPERT Green
Time: 226801, removed: HARD Yellow
Time: 226880, added: EXPERT Yellow
Time: 226880, added: MEDIUM Yellow
Time: 226880, added: EXPERT Green
Time: 226880, added: HARD Yellow
Time: 226960, removed: MEDIUM Blue
Time: 226960, removed: HARD Blue
Time: 226960, removed: EASY Red
Time: 226960, removed: EXPERT Blue
Time: 226960, removed: EXPERT Yellow
Time: 226960, removed: EXPERT Green
Time: 226960, removed: HARD Yellow
Time: 227040, added: MEDIUM Blue
Time: 227040, added: HARD Blue
Time: 227040, added: EASY Red
Time: 227040, added: EXPERT Blue
Time: 227040, added: EXPERT Yellow
Time: 227040, added: EXPERT Green
Time: 227040, added: HARD Yellow
Time: 227041, removed: MEDIUM Blue
Time: 227041, removed: HARD Blue
Time: 227041, removed: EXPERT Blue
Time: 227041, removed: EASY Red
Time: 227041, removed: EXPERT Green
Time: 227041, removed: HARD Yellow
Time: 246640, added: h2h note
Time: 246640, added: EASY Red
Time: 246640, added: EXPERT Blue
Time: 246640, added: HARD Green
Time: 246640, added: EXPERT Yellow
Time: 246640, added: EXPERT Green
Time: 246640, added: MEDIUM Green
Time: 246641, removed: h2h note
Time: 246641, removed: EASY Red
Time: 246641, removed: EXPERT Blue
Time: 246641, removed: HARD Green
Time: 246641, removed: EXPERT Yellow
Time: 246641, removed: EXPERT Green
Time: 246641, removed: MEDIUM Green
Time: 247118, removed: EXPERT Red
Time: 247118, removed: EXPERT Green
Time: 247120, added: EXPERT Green
Time: 247120, added: EXPERT Red
Time: 247120, added: EASY Yellow
Time: 247120, added: HARD Red
Time: 247120, added: MEDIUM Red
Time: 247200, removed: EXPERT Red
Time: 247200, removed: EASY Yellow
Time: 247200, removed: HARD Red
Time: 247200, removed: MEDIUM Red
Time: 247260, added: EXPERT Red
Time: 247260, added: EASY Yellow
Time: 247260, added: EXPERT Yellow
Time: 247260, added: HARD Red
Time: 247260, added: MEDIUM Red
Time: 247260, added: HARD Yellow
Time: 247320, removed: EXPERT Yellow
Time: 247320, removed: HARD Yellow
Time: 247380, added: MEDIUM Blue
Time: 247380, added: HARD Blue
