New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
New track in update: 'PART REAL_GUITAR_22'
Differences found in track 'PART DRUMS':
Time: 27000, added: EXPERT 2xKick
Time: 27240, added: EXPERT 2xKick
Time: 27480, added: EXPERT 2xKick
Time: 27720, added: EXPERT 2xKick
Time: 27960, added: EXPERT 2xKick
Time: 28200, added: EXPERT 2xKick
Time: 28440, added: EXPERT 2xKick
Time: 28680, added: EXPERT 2xKick
Time: 28920, added: EXPERT 2xKick
Time: 29160, added: EXPERT 2xKick
Time: 29400, added: EXPERT 2xKick
Time: 29640, added: EXPERT 2xKick
Time: 29880, added: EXPERT 2xKick
Time: 30120, added: EXPERT 2xKick
Time: 30360, added: EXPERT 2xKick
Time: 30600, added: EXPERT 2xKick
Time: 30840, added: EXPERT 2xKick
Time: 31080, added: EXPERT 2xKick
Time: 31320, added: EXPERT 2xKick
Time: 31560, added: EXPERT 2xKick
Time: 31800, added: EXPERT 2xKick
Time: 32040, added: EXPERT 2xKick
Time: 32280, added: EXPERT 2xKick
Time: 32520, added: EXPERT 2xKick
Time: 32760, added: EXPERT 2xKick
Time: 33000, added: EXPERT 2xKick
Time: 33240, added: EXPERT 2xKick
Time: 33480, added: EXPERT 2xKick
Time: 33720, added: EXPERT 2xKick
Time: 33960, added: EXPERT 2xKick
Time: 34200, added: EXPERT 2xKick
Time: 34440, added: EXPERT 2xKick
Time: 34680, added: EXPERT 2xKick
Time: 34920, added: EXPERT 2xKick
Time: 35160, added: EXPERT 2xKick
Time: 35400, added: EXPERT 2xKick
Time: 35640, added: EXPERT 2xKick
Time: 35880, added: EXPERT 2xKick
Time: 36120, added: EXPERT 2xKick
Time: 36360, added: EXPERT 2xKick
Time: 36600, added: EXPERT 2xKick
Time: 36840, added: EXPERT 2xKick
Time: 37080, added: EXPERT 2xKick
Time: 37320, added: EXPERT 2xKick
Time: 37560, added: EXPERT 2xKick
Time: 37800, added: EXPERT 2xKick
Time: 38040, added: EXPERT 2xKick
Time: 38280, added: EXPERT 2xKick
Time: 38520, added: EXPERT 2xKick
Time: 38760, added: EXPERT 2xKick
Time: 39000, added: EXPERT 2xKick
Time: 39240, added: EXPERT 2xKick
Time: 39480, added: EXPERT 2xKick
Time: 39720, added: EXPERT 2xKick
Time: 39960, added: EXPERT 2xKick
Time: 40200, added: EXPERT 2xKick
Time: 40440, added: EXPERT 2xKick
Time: 40680, added: EXPERT 2xKick
Time: 40920, added: EXPERT 2xKick
Time: 41160, added: EXPERT 2xKick
Time: 41400, added: EXPERT 2xKick
Time: 41640, added: EXPERT 2xKick
Time: 41880, added: EXPERT 2xKick
Time: 46200, added: EXPERT 2xKick
Time: 46440, added: EXPERT 2xKick
Time: 46680, added: EXPERT 2xKick
Time: 46920, added: EXPERT 2xKick
Time: 47160, added: EXPERT 2xKick
Time: 47400, added: EXPERT 2xKick
Time: 47640, added: EXPERT 2xKick
Time: 47880, added: EXPERT 2xKick
Time: 48120, added: EXPERT 2xKick
Time: 48360, added: EXPERT 2xKick
Time: 48600, added: EXPERT 2xKick
Time: 48840, added: EXPERT 2xKick
Time: 49080, added: EXPERT 2xKick
Time: 49320, added: EXPERT 2xKick
Time: 49560, added: EXPERT 2xKick
Time: 49800, added: EXPERT 2xKick
Time: 50040, added: EXPERT 2xKick
Time: 50280, added: EXPERT 2xKick
Time: 50520, added: EXPERT 2xKick
Time: 50760, added: EXPERT 2xKick
Time: 51000, added: EXPERT 2xKick
Time: 51240, added: EXPERT 2xKick
Time: 51480, added: EXPERT 2xKick
Time: 51720, added: EXPERT 2xKick
Time: 51960, added: EXPERT 2xKick
Time: 52200, added: EXPERT 2xKick
Time: 52440, added: EXPERT 2xKick
Time: 52680, added: EXPERT 2xKick
Time: 52920, added: EXPERT 2xKick
Time: 53160, added: EXPERT 2xKick
Time: 53400, added: EXPERT 2xKick
Time: 53640, added: EXPERT 2xKick
Time: 53880, added: EXPERT 2xKick
Time: 54120, added: EXPERT 2xKick
Time: 54360, added: EXPERT 2xKick
Time: 54600, added: EXPERT 2xKick
Time: 54840, added: EXPERT 2xKick
Time: 55080, added: EXPERT 2xKick
Time: 55320, added: EXPERT 2xKick
Time: 55560, added: EXPERT 2xKick
Time: 55800, added: EXPERT 2xKick
Time: 56040, added: EXPERT 2xKick
Time: 56280, added: EXPERT 2xKick
Time: 56520, added: EXPERT 2xKick
Time: 56760, added: EXPERT 2xKick
Time: 57000, added: EXPERT 2xKick
Time: 57240, added: EXPERT 2xKick
Time: 57480, added: EXPERT 2xKick
Time: 57720, added: EXPERT 2xKick
Time: 57960, added: EXPERT 2xKick
Time: 58200, added: EXPERT 2xKick
Time: 58440, added: EXPERT 2xKick
Time: 58680, added: EXPERT 2xKick
Time: 58920, added: EXPERT 2xKick
Time: 59160, added: EXPERT 2xKick
Time: 59400, added: EXPERT 2xKick
Time: 59640, added: EXPERT 2xKick
Time: 59880, added: EXPERT 2xKick
Time: 60120, added: EXPERT 2xKick
Time: 60360, added: EXPERT 2xKick
Time: 60600, added: EXPERT 2xKick
Time: 61560, added: EXPERT 2xKick
Time: 61800, added: EXPERT 2xKick
Time: 62280, added: EXPERT 2xKick
Time: 63000, added: EXPERT 2xKick
Time: 63240, added: EXPERT 2xKick
Time: 65400, added: EXPERT 2xKick
Time: 65640, added: EXPERT 2xKick
Time: 66120, added: EXPERT 2xKick
Time: 66840, added: EXPERT 2xKick
Time: 67080, added: EXPERT 2xKick
Time: 67360, added: EXPERT Kick
Time: 67360, added: EXPERT 2xKick
Time: 67360, added: HARD Kick
Time: 67440, removed: EXPERT Kick
Time: 67440, removed: HARD Kick
Time: 67500, added: EXPERT Kick
Time: 67500, added: EXPERT 2xKick
Time: 67500, added: HARD Kick
Time: 69240, added: EXPERT 2xKick
Time: 69480, added: EXPERT 2xKick
Time: 69960, added: EXPERT 2xKick
Time: 70680, added: EXPERT 2xKick
Time: 70920, added: EXPERT 2xKick
Time: 73080, added: EXPERT 2xKick
Time: 73320, added: EXPERT 2xKick
Time: 73800, added: EXPERT 2xKick
Time: 74520, added: EXPERT 2xKick
Time: 74760, added: EXPERT 2xKick
Time: 84600, added: EXPERT 2xKick
Time: 84720, added: EXPERT 2xKick
Time: 84840, added: EXPERT 2xKick
Time: 84960, added: EXPERT 2xKick
Time: 85080, added: EXPERT 2xKick
Time: 85200, added: EXPERT 2xKick
Time: 85320, added: EXPERT 2xKick
Time: 85440, added: EXPERT 2xKick
Time: 85560, added: EXPERT 2xKick
Time: 85680, added: EXPERT 2xKick
Time: 85800, added: EXPERT 2xKick
Time: 85920, added: EXPERT 2xKick
Time: 86040, added: EXPERT 2xKick
Time: 86160, added: EXPERT 2xKick
Time: 86280, added: EXPERT 2xKick
Time: 86400, added: EXPERT 2xKick
Time: 86520, added: EXPERT 2xKick
Time: 86640, added: EXPERT 2xKick
Time: 86760, added: EXPERT 2xKick
Time: 86880, added: EXPERT 2xKick
Time: 87000, added: EXPERT 2xKick
Time: 87120, added: EXPERT 2xKick
Time: 87240, added: EXPERT 2xKick
Time: 87360, added: EXPERT 2xKick
Time: 87480, added: EXPERT 2xKick
Time: 87600, added: EXPERT 2xKick
Time: 87720, added: EXPERT 2xKick
Time: 87840, added: EXPERT 2xKick
Time: 87960, added: EXPERT 2xKick
Time: 88080, added: EXPERT 2xKick
Time: 88200, added: EXPERT 2xKick
Time: 88320, added: EXPERT 2xKick
Time: 88440, added: EXPERT 2xKick
Time: 88560, added: EXPERT 2xKick
Time: 88680, added: EXPERT 2xKick
Time: 88800, added: EXPERT 2xKick
Time: 88920, added: EXPERT 2xKick
Time: 89040, added: EXPERT 2xKick
Time: 89160, added: EXPERT 2xKick
Time: 89280, added: EXPERT 2xKick
Time: 89400, added: EXPERT 2xKick
Time: 89520, added: EXPERT 2xKick
Time: 89640, added: EXPERT 2xKick
Time: 89760, added: EXPERT 2xKick
Time: 89880, added: EXPERT 2xKick
Time: 90000, added: EXPERT 2xKick
Time: 92280, added: EXPERT 2xKick
Time: 92520, added: EXPERT 2xKick
Time: 92760, added: EXPERT 2xKick
Time: 93000, added: EXPERT 2xKick
Time: 93240, added: EXPERT 2xKick
Time: 93480, added: EXPERT 2xKick
Time: 93720, added: EXPERT 2xKick
