New track in update: 'HARM1'
New track in update: 'HARM2'
Differences found in track 'PART DRUMS':
Time: 8080, added: DRUM ROLL
Time: 9510, added: DRUM ROLL
Time: 9510, added: EXPERT Blue
Time: 9510, added: EXPERT Green
Time: 9520, removed: HARD Green
Time: 9520, removed: EXPERT Blue
Time: 9520, removed: EXPERT Green
Time: 9520, removed: EASY Blue
Time: 9520, removed: MEDIUM Blue
Time: 9600, added: EASY Blue
Time: 9600, added: HARD Green
Time: 9600, added: MEDIUM Blue
Time: 9600, added: EXPERT Green
Time: 9660, removed: EASY Blue
Time: 9660, removed: HARD Green
Time: 9660, removed: MEDIUM Blue
Time: 9660, removed: EXPERT Green
Time: 10720, added: DRUM ROLL
Text differences found in track 'PART DRUMS':
Time: 26880, Text event changed from '[mix 0 drums2easy] ' to '[mix 0 drums2easy]'
Time: 57600, Text event changed from '[mix 0 drums2easy] ' to '[mix 0 drums2easy]'
Time: 72960, Text event changed from '[mix 0 drums2easynokick] ' to '[mix 0 drums2easynokick]'
Time: 126720, Text event changed from '[mix 0 drums2easy] ' to '[mix 0 drums2easy]'
