New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 14480, added: EXPERT 2xKick
Time: 14540, added: EXPERT 2xKick
Time: 14559, removed: EXPERT Kick
Time: 14560, added: EXPERT Kick
Time: 14619, removed: EXPERT Kick
Time: 14620, added: EXPERT Kick
Time: 22400, removed: EXPERT Kick
Time: 22440, added: EXPERT Kick
Time: 22460, removed: EXPERT Kick
Time: 22480, removed: EXPERT Kick
Time: 22500, added: EXPERT Kick
Time: 22540, removed: EXPERT Kick
Time: 22560, added: EXPERT Kick
Time: 44960, removed: EXPERT Kick
Time: 45000, added: EXPERT Kick
Time: 45020, removed: EXPERT Kick
Time: 45040, removed: EXPERT Kick
Time: 45060, added: EXPERT Kick
Time: 45100, removed: EXPERT Kick
Time: 45120, added: EXPERT Kick
Time: 60319, removed: EXPERT Kick
Time: 60360, added: EXPERT Kick
Time: 60379, removed: EXPERT Kick
Time: 60400, removed: EXPERT Kick
Time: 60420, added: EXPERT Kick
Time: 60460, removed: EXPERT Kick
Time: 60480, added: EXPERT Kick
Time: 83840, removed: EXPERT Kick
Time: 83880, added: EXPERT Kick
Time: 83900, removed: EXPERT Kick
Time: 83920, removed: EXPERT Kick
Time: 83940, added: EXPERT Kick
Time: 83980, removed: EXPERT Kick
Time: 84000, added: EXPERT Kick
Time: 91140, added: EXPERT 2xKick
Time: 91200, added: EXPERT 2xKick
Time: 99200, removed: EXPERT Kick
Time: 99240, added: EXPERT Kick
Time: 99260, removed: EXPERT Kick
Time: 99280, removed: EXPERT Kick
Time: 99300, added: EXPERT Kick
Time: 99340, removed: EXPERT Kick
Time: 99360, added: EXPERT Kick
Time: 106500, added: EXPERT 2xKick
Time: 106560, added: EXPERT 2xKick
Time: 106980, added: EXPERT 2xKick
Time: 107040, added: EXPERT 2xKick
Time: 114180, added: EXPERT 2xKick
Time: 114240, added: EXPERT 2xKick
Time: 121860, added: EXPERT 2xKick
Time: 121920, added: EXPERT 2xKick
Time: 130020, added: EXPERT 2xKick
Time: 130080, added: EXPERT 2xKick
Time: 135780, added: EXPERT 2xKick
Time: 135840, added: EXPERT 2xKick
Time: 137700, added: EXPERT 2xKick
Time: 137760, added: EXPERT 2xKick
Time: 145380, added: EXPERT 2xKick
Time: 145440, added: EXPERT 2xKick
Time: 153060, added: EXPERT 2xKick
Time: 153120, added: EXPERT 2xKick
Text differences found in track 'PART DRUMS':
Time: 153599, Text event changed from '[no event]' to '[idle_realtime]'
Time: 153600, Text event changed from '[idle_realtime]' to '[no event]'
