New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 3840, removed: Unknown Note (105), Unknown Note (106)
Time: 11640, removed: Unknown Note (105)
Time: 13440, removed: Unknown Note (105)
Time: 15480, removed: Unknown Note (106)
Time: 17280, removed: Unknown Note (106)
Time: 19320, removed: Unknown Note (105)
Time: 23040, removed: Unknown Note (105)
Time: 24960, removed: DRUM FILL, DRUM FILL (use all 5), DRUM FILL, DRUM FILL, DRUM FILL
Time: 26880, removed: DRUM FILL, DRUM FILL (use all 5), DRUM FILL, DRUM FILL, DRUM FILL
Time: 27000, removed: Unknown Note (106)
Time: 30720, removed: Unknown Note (106)
Time: 32640, removed: DRUM FILL, DRUM FILL (use all 5), DRUM FILL, DRUM FILL, DRUM FILL
Time: 34560, removed: DRUM FILL, DRUM FILL (use all 5), DRUM FILL, DRUM FILL, DRUM FILL
Time: 35520, removed: Unknown Note (105)
Time: 38400, removed: Unknown Note (105)
Time: 39360, removed: Unknown Note (106)
Time: 40320, removed: Unknown Note (106)
Time: 43200, removed: Unknown Note (106)
Time: 46080, removed: Unknown Note (106)
Time: 47040, removed: Unknown Note (105)
Time: 48000, removed: Unknown Note (105)
Time: 50040, removed: Unknown Note (105)
Time: 53760, removed: Unknown Note (105)
Time: 55680, removed: DRUM FILL, DRUM FILL (use all 5), DRUM FILL, DRUM FILL, DRUM FILL
Time: 57600, removed: DRUM FILL, DRUM FILL (use all 5), DRUM FILL, DRUM FILL, DRUM FILL
Time: 57720, removed: Unknown Note (106)
Time: 61440, removed: Unknown Note (106)
Time: 73080, removed: Unknown Note (106)
Time: 76800, removed: Unknown Note (105), Unknown Note (106)
Time: 81240, removed: Unknown Note (105)
Time: 84480, removed: Unknown Note (105)
Time: 90240, removed: Unknown Note (105)
Time: 94080, removed: Unknown Note (105)
Time: 94200, removed: Unknown Note (106)
Time: 96000, removed: Unknown Note (106)
Time: 98040, removed: Unknown Note (106)
Time: 101760, removed: Unknown Note (106)
Time: 101880, removed: Unknown Note (105)
Time: 103680, removed: Unknown Note (105)
