New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
Differences found in track 'PART DRUMS':
Time: 34680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 34920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 35160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 35400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 36120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 36360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 37080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 37320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 38520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 38760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 39000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 39240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 39960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 40200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 40920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 41160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 42360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 42600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 42840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 43080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 43800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 44040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 44760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 45000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 46200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 46440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 46680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 46920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 47640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 47880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 48600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 48840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 50040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 50280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 50520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 50760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 51000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 51240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 51480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 51720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 51960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 52200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 52440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 52680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 52920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 53160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 53400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 53640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 53880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 54120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 54360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 54600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 54840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 55080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 55320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 55560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 55800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 56040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 56280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 56520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 56760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 57000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 57240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 57480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 57720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 57960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 58200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 58440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 59160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 59400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 60120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 60360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 61560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 61800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 62040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 62280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 63000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 63240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 63960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 64200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 65400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 65640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 65880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 66120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 66840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 67080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 67800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 68040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 69240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 69480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 69720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 69960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 70680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 70920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 71160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 71400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 71640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 71880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 72120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 72360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 73080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 73320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 73560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 73800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 74520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 74760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 75480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 75720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 76920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 77160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 77400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 77640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 78360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 78600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 79320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 79560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 80760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 81000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 81240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 81480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 82200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 82440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 83160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 83400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 84600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 84840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 85080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 85320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 124200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 124440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 124680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 124920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 125160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 125400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 125640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 126840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 127080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 127320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 127560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 128280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 128520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 129240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 129480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 130680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 130920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 131160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 131400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 132120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 132360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 133080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 133320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 134520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 134760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 135000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 135240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 135960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 136200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 136920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 137160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 138360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 138600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 138840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 139080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 139800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 140040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 140280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 140520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 140760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 141000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 141240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 141480, added: EXPERT 2xKick, EXPERT 2xKick
